Primer Autor,Año,Tipo de Producto,Afiliación del Primer Autor,Journal,Publisher,Base de Datos,Citaciones
Faudzi M.A.,2024-09-30,Article,Universiti Tenaga Nasional,Heliyon,Publisher desconocido,Scopus,0
Fauzi ,2024-10-01,Article,Universitas Negeri Yogyakarta,Retos,Publisher desconocido,Scopus,0
Favero M.,2024-10-01,Article,École Polytechnique Fédérale de Lausanne,Building and Environment,Publisher desconocido,Scopus,0
Fazio L.,2024-11-01,Article,Heinrich-Heine-Universität Düsseldorf,"Brain, Behavior, and Immunity",Publisher desconocido,Scopus,0
Felicia W.X.L.,2024-12-01,Review,Universiti Malaysia Sabah,Applied Food Research,Publisher desconocido,Scopus,0
Feng B.,2025-01-01,Article,Chongqing University of Technology,Entertainment Computing,Publisher desconocido,Scopus,0
Feng G.W.,2024-12-01,Article,Yale University,Nature Communications,Publisher desconocido,Scopus,0
Feng J.,2024-12-01,Article,Huaqiao University,Renewable Energy,Publisher desconocido,Scopus,0
Feng J.,2024-12-01,Article,UCSI University,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Feng Y.,2024-12-01,Review,Qingdao University,Cell Communication and Signaling,Publisher desconocido,Scopus,5
Ferdous J.,2024-10-01,Review,University of British Columbia Okanagan,Sustainable Production and Consumption,Publisher desconocido,Scopus,0
Fernandes A.C.,2024-12-01,Article,Commonwealth Scientific and Industrial Research Organisation,Scientific Reports,Publisher desconocido,Scopus,0
Ferraro F.,2024-09-16,Article,Universidad de la Republica,ChemMedChem,Publisher desconocido,Scopus,1
Field S.,2024-10-01,Article,University of Wyoming,Journal of Archaeological Science,Publisher desconocido,Scopus,0
Fields C.,2024-09-03,Article,Tufts University,Biochemical and Biophysical Research Communications,Publisher desconocido,Scopus,1
Fleming S.M.,2024-10-01,Review,Max Planck UCL Centre for Computational Psychiatry and Ageing Research,Trends in Cognitive Sciences,Publisher desconocido,Scopus,0
Francisco F.E.,2024-12-01,Article,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Cleaner Environmental Systems,Publisher desconocido,Scopus,0
Fu C.,2024-12-01,Article,Chongqing University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,1
Fu L.,2024-10-01,Article,Nanjing Forestry University,Advanced Engineering Informatics,Publisher desconocido,Scopus,0
Fu X.,2024-11-01,Article,Chongqing University,Environmental Impact Assessment Review,Publisher desconocido,Scopus,0
Fuentes N.,2024-12-01,Article,Universidad del Norte,International Journal of Innovation Studies,Publisher desconocido,Scopus,0
Gao J.,2024-09-27,Article,Harbin Institute of Technology,Knowledge-Based Systems,Publisher desconocido,Scopus,0
Gao X.,2024-12-01,Article,East China Normal University,Nature Communications,Publisher desconocido,Scopus,4
Garg S.,2024-10-01,Article,Jamia Hamdard,Journal of Innovation and Knowledge,Publisher desconocido,Scopus,0
Gatti D.,2024-12-01,Article,Università degli Studi di Pavia,Scientific Reports,Publisher desconocido,Scopus,0
Geng D.C.,2024-12-01,Article,The University of British Columbia,Journal of Forestry Research,Publisher desconocido,Scopus,0
Gennari R.,2024-12-01,Article,Free University of Bozen-Bolzano,International Journal of Human Computer Studies,Publisher desconocido,Scopus,0
Gericke C.,2025-02-01,Article,Universität Potsdam,Learning and Instruction,Publisher desconocido,Scopus,0
Gerstenberg T.,2024-10-01,Review,Stanford University,Trends in Cognitive Sciences,Publisher desconocido,Scopus,0
Gezsi A.,2024-12-01,Article,Budapest University of Technology and Economics,Nature Communications,Publisher desconocido,Scopus,0
Giagnorio A.,2025-01-01,Book Chapter,Università degli Studi di Padova,Lecture Notes on Data Engineering and Communications Technologies,Publisher desconocido,Scopus,0
Gibbons J.A.,2024-09-01,Article,Christopher Newport University,Behavioral Sciences,Publisher desconocido,Scopus,0
Gil-Flores J.,2024-12-01,Article,Universidad de Sevilla,Large-Scale Assessments in Education,Publisher desconocido,Scopus,0
Gkantia E.,2024-10-01,Article,University of Western Macedonia,European Journal of Educational Research,Publisher desconocido,Scopus,0
Goel S.,2024-12-01,Article,Yale University,Nature Communications,Publisher desconocido,Scopus,0
Gok S.,2024-12-01,Review,Indiana University Bloomington,Cognitive Research: Principles and Implications,Publisher desconocido,Scopus,0
Golestani N.,2024-09-15,Article,Australian Maritime College,Ocean Engineering,Publisher desconocido,Scopus,1
Golubickis M.,2024-12-01,Article,University of Aberdeen,Scientific Reports,Publisher desconocido,Scopus,0
Gonda D.,2024-09-30,Article,University of Žilina,Heliyon,Publisher desconocido,Scopus,0
Gong J.,2024-12-01,Article,South China Normal University,Thinking Skills and Creativity,Publisher desconocido,Scopus,0
Gong P.,2024-10-01,Review,Southeast University,Safety Science,Publisher desconocido,Scopus,1
González-Mohíno M.,2024-11-01,Article,Universidad de Córdoba,International Journal of Management Education,Publisher desconocido,Scopus,0
Gorgan Mohammadi A.,2024-12-01,Article,University of Tehran,Scientific Reports,Publisher desconocido,Scopus,0
Gothard T.,2024-12-01,Article,Carleton University,Scientific Reports,Publisher desconocido,Scopus,0
Grassini S.,2024-12-01,Article,Universitetet i Bergen,Scientific Reports,Publisher desconocido,Scopus,1
Greif L.,2024-12-01,Article,Karlsruher Institut für Technologie,Discover Artificial Intelligence,Publisher desconocido,Scopus,1
Grigoroglou M.,2024-10-01,Article,University of Toronto,Journal of Memory and Language,Publisher desconocido,Scopus,0
Grobler M.,2024-09-09,Book Chapter,Commonwealth Scientific and Industrial Research Organisation,Psybersecurity: Human Factors of Cyber Defence,Publisher desconocido,Scopus,0
Groothuijsen S.,2024-12-01,Article,Technische Universiteit Eindhoven,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Grybauskas A.,2024-11-01,Article,Kaunas University of Technology,Technological Forecasting and Social Change,Publisher desconocido,Scopus,0
Gu H.,2024-10-01,Article,UCLA Samueli School of Engineering,International Journal of Human Computer Studies,Publisher desconocido,Scopus,0
Guan J.,2024-09-15,Article,Jiangsu University,Acta Materialia,Publisher desconocido,Scopus,0
Guentulle V.,2024-12-01,Article,Pontificia Universidad Católica de Chile,Thinking Skills and Creativity,Publisher desconocido,Scopus,0
Guggemos J.,2024-12-01,Article,University of Education Schwäbisch Gmünd,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Gunawan J.,2024-10-01,Review,Chulalongkorn University,Nurse Education Today,Publisher desconocido,Scopus,0
Guo A.,2024-12-01,Article,Nagoya University,Scientific Reports,Publisher desconocido,Scopus,1
Guo B.B.,2024-12-01,Article,"Department of Polymer Science and Engineering, Zhejiang University",Nature Communications,Publisher desconocido,Scopus,4
Guo C.,2024-09-01,Article,Zhongyuan University of Technology,Systems,Publisher desconocido,Scopus,0
Guo K.,2024-10-01,Article,The University of Hong Kong,Internet and Higher Education,Publisher desconocido,Scopus,0
Guo P.,2024-10-01,Article,Zhongkai University of Agriculture and Engineering,Applied Mathematical Modelling,Publisher desconocido,Scopus,0
Guo Q.,2024-10-01,Article,Central China Normal University,Journal of Educational Computing Research,Publisher desconocido,Scopus,0
Guo Y.,2024-12-01,Article,Beijing Normal University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Gutiérrez Beltrán E.J.,2025-02-01,Article,"Pontificia Universidad Javeriana, Cali",Science of Computer Programming,Publisher desconocido,Scopus,0
Guy N.,2024-12-01,Article,Hebrew University of Jerusalem,Scientific Reports,Publisher desconocido,Scopus,1
Gómez-Schiavon M.,2024-12-01,Article,Instituto Milenio de Biología Integrativa,npj Systems Biology and Applications,Publisher desconocido,Scopus,1
Hamad F.,2024-12-01,Article,Sultan Qaboos University,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,4
Hameed K.,2024-12-01,Review,University of Tasmania,Discover Sustainability,Publisher desconocido,Scopus,1
Han H.,2024-12-01,Article,Hainan Vocational University of Science and Technology,Journal of Cloud Computing,Publisher desconocido,Scopus,1
Handler A.,2024-12-01,Article,Leeds School of Business,International Journal of Information Management,Publisher desconocido,Scopus,0
Hardof-Jaffe S.,2024-12-01,Article,Levinsky-Wingate Academic College,International Journal of Child-Computer Interaction,Publisher desconocido,Scopus,0
Hasanah U.,2024-12-01,Article,Universitas Negeri Malang,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Hass-cohen N.,2024-09-13,Book Chapter,Alliant International University,Art Therapy and the Neuroscience of Trauma: Theoretical and Practical Perspectives,Publisher desconocido,Scopus,0
Hassan M.,2024-09-28,Short Survey,Shenzhen Children's Hospital,Neurocomputing,Publisher desconocido,Scopus,0
Hausman D.M.,2024-10-01,Article,Rutgers University–New Brunswick,PharmacoEconomics,Publisher desconocido,Scopus,0
Hazeleger W.,2024-12-01,Article,Universiteit Utrecht,Communications Earth and Environment,Publisher desconocido,Scopus,0
He F.,2024-12-01,Article,Nanjing University of Science and Technology,Scientific Reports,Publisher desconocido,Scopus,0
He G.,2024-09-10,Conference Paper,Delft University of Technology,HT 2024: Creative Intelligence - 35th ACM Conference on Hypertext and Social Media,Publisher desconocido,Scopus,0
He Q.,2024-12-01,Article,Xidian University,Neural Networks,Publisher desconocido,Scopus,0
Heidemann G.,2024-11-01,Article,WHU - Otto Beisheim School of Management,Technological Forecasting and Social Change,Publisher desconocido,Scopus,0
Heinze G.,2024-12-01,Article,Medizinische Universität Wien,BMC Medical Research Methodology,Publisher desconocido,Scopus,0
Hellmann A.,2024-12-01,Article,IU Internationale Hochschule GmbH,Journal of Behavioral and Experimental Finance,Publisher desconocido,Scopus,0
Hellstern G.,2024-12-01,Article,Duale Hochschule Baden-Württemberg,EPJ Quantum Technology,Publisher desconocido,Scopus,0
Henig L.,2024-09-16,Article,Hebrew University of Jerusalem,"Memory, Mind and Media",Publisher desconocido,Scopus,0
Herault C.,2024-12-01,Article,Sorbonne Université,Communications Biology,Publisher desconocido,Scopus,0
Herlina S.,2025-09-01,Article,Universitas Pendidikan Indonesia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Hibi W.,2025-06-30,Article,College of Sakhnin for Teacher Education,"International Journal of Science, Mathematics and Technology Learning",Publisher desconocido,Scopus,0
Hidayat R.,2024-12-01,Article,Universiti Putra Malaysia,Jurnal Ilmiah Ilmu Terapan Universitas Jambi,Publisher desconocido,Scopus,0
Higa G.S.V.,2024-10-01,Review,Universidade de São Paulo,Neuropharmacology,Publisher desconocido,Scopus,0
Himelboim I.,2024-10-01,Article,University of Georgia,New Media and Society,Publisher desconocido,Scopus,9
Hirano Y.,2024-12-01,Article,The University of Tokyo,Communications Biology,Publisher desconocido,Scopus,1
Hitzer E.,2024-09-30,Article,International Christian University,Mathematical Methods in the Applied Sciences,Publisher desconocido,Scopus,3
Hiwatig B.M.R.,2024-12-01,Article,University of Minnesota Twin Cities,Disciplinary and Interdisciplinary Science Education Research,Publisher desconocido,Scopus,0
Hobble H.V.,2024-12-01,Review,Jacobs School of Medicine and Biomedical Sciences,Epigenetics and Chromatin,Publisher desconocido,Scopus,1
Hoch S.Y.,2024-10-01,Article,Weizmann Institute of Science Israel,Protein Science,Publisher desconocido,Scopus,0
Hofmann V.,2024-09-05,Article,The Allen Institute for Artificial Intelligence,Nature,Publisher desconocido,Scopus,1
Hollmann F.,2024-09-02,Review,Delft University of Technology,Angewandte Chemie - International Edition,Publisher desconocido,Scopus,2
Holst-Hansen T.,2024-12-01,Article,Niels Bohr Institutet,npj Systems Biology and Applications,Publisher desconocido,Scopus,0
Honarjoo A.,2024-09-30,Article,Islamic Azad University,International Journal of Structural Integrity,Publisher desconocido,Scopus,0
Honorato N.,2024-12-01,Review,Universidade Federal de Ouro Preto,Smart Learning Environments,Publisher desconocido,Scopus,1
Hooshyar D.,2024-12-01,Article,Tallinna Ülikool,Computers and Education,Publisher desconocido,Scopus,0
Horváth I.,2024-10-01,Article,"Faculteit Industrieel Ontwerpen, TU Delft",Journal of Computing and Information Science in Engineering,Publisher desconocido,Scopus,0
Hou Y.,2024-09-03,Article,École Polytechnique Fédérale de Lausanne,Journal of Documentation,Publisher desconocido,Scopus,3
Houba N.,2024-09-15,Article,ETH Zürich,Physical Review D,Publisher desconocido,Scopus,0
Hsiao H.S.,2024-10-01,Article,National Taiwan Normal University,Journal of Science Education and Technology,Publisher desconocido,Scopus,0
Hsieh Y.L.,2024-12-01,Article,National Taiwan Normal University,Discover Sustainability,Publisher desconocido,Scopus,3
Hu B.,2024-10-01,Article,Chongqing University of Posts and Telecommunications,Neurocomputing,Publisher desconocido,Scopus,0
Hu F.,2024-10-01,Article,New York University,Vision Research,Publisher desconocido,Scopus,0
Hu J.,2024-12-01,Article,Tsinghua University,Nano-Micro Letters,Publisher desconocido,Scopus,0
Hu L.,2024-12-01,Article,Beijing Normal University,Thinking Skills and Creativity,Publisher desconocido,Scopus,0
Hu Q.,2024-10-01,Article,Curtin University,Process Safety and Environmental Protection,Publisher desconocido,Scopus,0
Hu X.,2024-10-01,Article,Nantong University,Theoretical and Applied Fracture Mechanics,Publisher desconocido,Scopus,0
Hu Y.,2025-01-01,Article,Wuhan Technical College of Communications,Computer-Aided Design and Applications,Publisher desconocido,Scopus,0
Hu Z.,2024-12-01,Article,Hengyang Normal University,Heritage Science,Publisher desconocido,Scopus,0
Huang H.,2024-12-01,Article,Xihua University,Socio-Economic Planning Sciences,Publisher desconocido,Scopus,0
Huang H.,2024-12-01,Article,Huazhong University of Science and Technology,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Huang I.L.,2024-09-01,Article,National Taiwan Ocean University,Journal of Marine Science and Engineering,Publisher desconocido,Scopus,0
Huang J.,2024-12-01,Article,Huazhong University of Science and Technology,Biotechnology for Biofuels and Bioproducts,Publisher desconocido,Scopus,5
Huang L.,2024-12-01,Article,The Education University of Hong Kong,Computers and Education,Publisher desconocido,Scopus,0
Huang P.C.,2024-12-01,Article,Chang Gung University College of Medicine,BMC Psychology,Publisher desconocido,Scopus,1
Hubert K.F.,2024-12-01,Article,University of Arkansas,Scientific Reports,Publisher desconocido,Scopus,10
Hur J.K.,2024-09-24,Article,Yale University,Proceedings of the National Academy of Sciences of the United States of America,Publisher desconocido,Scopus,0
Hussain I.,2024-09-15,Review,Abdul Wali Khan University Mardan,Heliyon,Publisher desconocido,Scopus,0
Idris I.I.,2024-12-01,Article,Louisiana State University,Journal of Infrastructure Preservation and Resilience,Publisher desconocido,Scopus,1
Igamberdiev A.U.,2024-12-01,Article,Memorial University of Newfoundland,BioSystems,Publisher desconocido,Scopus,0
Ikegwu A.C.,2024-12-01,Review,"Veritas University, Abuja",Energy Informatics,Publisher desconocido,Scopus,5
Ilyinskaya E.,2024-09-18,Article,University of Leeds,Natural Hazards and Earth System Sciences,Publisher desconocido,Scopus,0
Imamah ,2024-12-01,Article,Institut Teknologi Sepuluh Nopember,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Indurthi D.C.,2024-10-05,Article,Jacobs School of Medicine and Biomedical Sciences,European Journal of Pharmacology,Publisher desconocido,Scopus,0
Iqbal M.S.,2025-08-01,Article,Universiti Teknologi Malaysia Kuala Lumpur,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Iqbal S.,2024-09-15,Review,Government College University Faisalabad,Fuel,Publisher desconocido,Scopus,2
Irby I.,2024-12-01,Article,Georgia Institute of Technology,Nature Communications,Publisher desconocido,Scopus,1
Ismael N.,2024-12-01,Article,"Stellenbosch University, Faculty of Medicine and Health Sciences",BMC Infectious Diseases,Publisher desconocido,Scopus,0
Istikomah E.,2025-08-01,Article,Universitas Pendidikan Indonesia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Jabalameli M.R.,2024-12-01,Article,Albert Einstein College of Medicine,Scientific Reports,Publisher desconocido,Scopus,0
Jackson P.,2024-12-01,Article,Pushpagiri Medical College,BMC Medical Education,Publisher desconocido,Scopus,2
Jagatheesaperumal S.K.,2024-12-01,Article,Mepco Schlenk Engineering College,Computational Urban Science,Publisher desconocido,Scopus,3
Jain S.,2024-09-02,Article,Guru Gobind Singh Indraprastha University,International Journal of Organization Theory and Behavior,Publisher desconocido,Scopus,1
Jamioł M.,2024-10-01,Article,University of Life Sciences in Lublin,Medycyna Weterynaryjna,Publisher desconocido,Scopus,0
Janská E.,2024-12-01,Article,Charles University,Comparative Migration Studies,Publisher desconocido,Scopus,0
Jebbar W.A.,2024-10-01,Article,University of Thi-Qar,SN Computer Science,Publisher desconocido,Scopus,0
Jensen D.E.A.,2024-12-01,Article,Max Planck Institute for Human Cognitive and Brain Sciences,Nature Communications,Publisher desconocido,Scopus,1
Jesse B.J.,2024-12-01,Review,Copernicus Institute of Sustainable Development,"Energy, Sustainability and Society",Publisher desconocido,Scopus,0
Jiang C.,2024-12-01,Article,Department of Computer Science,Nature Communications,Publisher desconocido,Scopus,0
Jiang H.,2024-12-01,Article,"College of Education, Zhejiang University",Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Jiang J.,2024-12-01,Article,Chengdu Medical College,Scientific Reports,Publisher desconocido,Scopus,1
Jiang K.,2024-10-15,Article,Tianjin Normal University,NeuroImage,Publisher desconocido,Scopus,0
Jiang M.Y.C.,2024-10-01,Article,Shenzhen Technology University,Computers and Education,Publisher desconocido,Scopus,0
Jiang Q.,2024-12-01,Article,Jiangnan University,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Jiang W.,2024-11-01,Article,Purdue University,Empirical Software Engineering,Publisher desconocido,Scopus,0
Jiang Y.,2024-10-01,Review,Cornell University,Developments in the Built Environment,Publisher desconocido,Scopus,0
Jiao S.,2024-10-01,Article,Beijing Normal University,NeuroImage,Publisher desconocido,Scopus,0
Jin X.,2024-10-15,Article,Nanjing University of Science and Technology,Optics Communications,Publisher desconocido,Scopus,0
Jing Y.,2024-12-01,Article,Zhejiang University of Technology,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,5
Josepha M.J.,2025-05-01,Article,SRM Institute of Science and Technology,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Josephng P.S.,2025-04-01,Article,INTI International University,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,2
Joshi A.,2025-01-01,Article,Purdue University,Entertainment Computing,Publisher desconocido,Scopus,0
Juhanaini J.,2025-06-01,Article,Universitas Pendidikan Indonesia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Kabir A.,2024-09-25,Article,Simon Fraser University,Journal of Neuroscience,Publisher desconocido,Scopus,0
Kabrel M.,2024-12-01,Article,Tartu Ülikool,BMC Psychiatry,Publisher desconocido,Scopus,0
Kade A.,2024-12-01,Article,Universitas Tadulako,ASEAN Journal of Science and Engineering,Publisher desconocido,Scopus,0
Kain C.,2024-12-01,Review,Middle School Frohnleiten,Teaching and Teacher Education,Publisher desconocido,Scopus,0
Kalaee A.,2025-01-01,Article,Iran University of Science and Technology,Information and Software Technology,Publisher desconocido,Scopus,0
Kalaimani G.,2024-11-01,Article,Karpagam College of Engineering,"Signal, Image and Video Processing",Publisher desconocido,Scopus,0
Kalapos M.P.,2024-10-01,Article,"Theoretical Biology Research Group, Budapest",BioSystems,Publisher desconocido,Scopus,0
Kalutantirige F.C.,2024-12-01,Article,University of Illinois Urbana-Champaign,Nature Communications,Publisher desconocido,Scopus,1
Kamalrathne T.,2024-10-01,Article,University of Huddersfield,International Journal of Disaster Risk Reduction,Publisher desconocido,Scopus,0
Kamashita R.,2024-12-01,Article,Osaka University,BioPsychoSocial Medicine,Publisher desconocido,Scopus,0
Kammouh O.,2024-10-01,Article,"The Department of Multi-Actor Systems, TU Delft",Reliability Engineering and System Safety,Publisher desconocido,Scopus,0
Kang B.,2024-12-01,Article,Hitotsubashi University,Research Policy,Publisher desconocido,Scopus,0
Kao A.B.,2024-10-01,Review,University of Massachusetts Boston,Trends in Ecology and Evolution,Publisher desconocido,Scopus,0
Karch J.M.,2024-12-01,Article,Tufts University,International Journal of STEM Education,Publisher desconocido,Scopus,0
Karim F.,2024-12-01,Article,Africa Health Research Institute,Nature Communications,Publisher desconocido,Scopus,6
Karimian Z.,2024-12-01,Article,Shiraz University of Medical Sciences,BMC Medical Education,Publisher desconocido,Scopus,0
Karpathakis K.,2024-12-01,Article,Alma Mater Studiorum Università di Bologna,Minds and Machines,Publisher desconocido,Scopus,0
Katsumbe T.H.,2024-12-01,Article,Johannesburg Business School,City and Environment Interactions,Publisher desconocido,Scopus,0
Kaur N.,2025-01-01,Article,Lovely Professional University,Multidisciplinary Science Journal,Publisher desconocido,Scopus,0
Kaushik K.,2024-11-01,Book Chapter,University of Petroleum and Energy Studies,Digital Analytics Applications for Sustainable Training and Education,Publisher desconocido,Scopus,0
Kavargyris D.C.,2024-12-01,Article,Aristotle University of Thessaloniki,Social Network Analysis and Mining,Publisher desconocido,Scopus,0
Kawashima C.,2024-12-01,Article,Yamaguchi University Graduate School of Medicine,Scientific Reports,Publisher desconocido,Scopus,4
Kayikci S.,2024-12-01,Article,FAU College of Engineering and Computer Science,Journal of Big Data,Publisher desconocido,Scopus,11
Kaynar H.,2024-12-01,Article,Necmettin Erbakan Üniversitesi,Thinking Skills and Creativity,Publisher desconocido,Scopus,0
Kazmierska-Grebowska P.,2024-11-01,Short Survey,University of Lodz,International Journal of Biochemistry and Cell Biology,Publisher desconocido,Scopus,0
Kejriwal M.,2024-12-01,Article,Information Sciences Institute,Scientific Reports,Publisher desconocido,Scopus,2
Kejík Z.,2024-12-01,Review,Všeobecná Fakultní Nemocnice v Praze,Communications Chemistry,Publisher desconocido,Scopus,0
Keong T.C.,2025-04-01,Article,SEGi University,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Khalid I.L.,2025-09-01,Article,Universiti Malaya,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Khamassi M.,2024-12-01,Article,Institut des Systèmes Intelligents et de Robotique,Scientific Reports,Publisher desconocido,Scopus,0
Khan A.,2024-12-01,Review,Aligarh Muslim University,Social Network Analysis and Mining,Publisher desconocido,Scopus,1
Kharbouch M.,2025-03-01,Review,Universidad de Murcia,Computer Standards and Interfaces,Publisher desconocido,Scopus,0
Kharmoum N.,2024-12-01,Article,Centre National Pour La Recherche Scientifique et Technique,Bulletin of Electrical Engineering and Informatics,Publisher desconocido,Scopus,0
Khoiri A.,2024-10-01,Article,Universitas Sains Alqur an,Journal of Engineering Science and Technology,Publisher desconocido,Scopus,0
Kim J.,2024-12-01,Article,Sungkyunkwan University,Scientific Reports,Publisher desconocido,Scopus,0
Kingra S.,2024-12-01,Article,University Institute of Engineering and Technology,Forensic Science International: Digital Investigation,Publisher desconocido,Scopus,0
Kirshenbaum J.S.,2024-12-01,Review,New York State Psychiatric Institute,Translational Psychiatry,Publisher desconocido,Scopus,0
Kiseleva Y.V.,2024-11-01,Review,Pirogov Russian National Research Medical University (RNRMU),Journal of Clinical and Experimental Hepatology,Publisher desconocido,Scopus,0
Kleder M.C.,2024-12-01,Article,Virginia Polytechnic Institute and State University,Scientific Reports,Publisher desconocido,Scopus,0
Kocagul M.,2024-11-06,Article,Pamukkale Üniversitesi,Participatory Educational Research,Publisher desconocido,Scopus,0
Kolahi Azar H.,2024-12-01,Review,Tabriz University of Medical Sciences,Journal of Biological Engineering,Publisher desconocido,Scopus,2
Kong D.,2024-11-01,Article,Yanshan University,Reliability Engineering and System Safety,Publisher desconocido,Scopus,2
Kong S.C.,2024-10-01,Article,The Education University of Hong Kong,Computers and Education,Publisher desconocido,Scopus,0
Koo Y.R.,2024-12-01,Article,Hongik University,BMC Medical Informatics and Decision Making,Publisher desconocido,Scopus,1
Kooijman S.A.L.M.,2024-11-01,Article,Vrije Universiteit Amsterdam,Ecological Modelling,Publisher desconocido,Scopus,0
Korda Ž.,2024-10-01,Review,Universität Graz,Neuroscience and Biobehavioral Reviews,Publisher desconocido,Scopus,0
Kornacki M.,2024-09-09,Book,University of Lodz,Hybrid Workflows in Translation: Integrating GenAI into Translator Training,Publisher desconocido,Scopus,0
Korucu-Kiş S.,2024-12-01,Article,Necmettin Erbakan Üniversitesi,Thinking Skills and Creativity,Publisher desconocido,Scopus,0
Kotha S.S.,2024-09-30,Review,Rajshahi University of Engineering and Technology,Heliyon,Publisher desconocido,Scopus,0
Kou X.,2024-12-01,Article,Shanghai Institute of Technology,Food Hydrocolloids,Publisher desconocido,Scopus,0
Kouri G.,2024-12-01,Article,University of Fribourg,BMC Psychology,Publisher desconocido,Scopus,0
Kovacevic K.M.,2024-12-01,Article,Central European University,Scientific Reports,Publisher desconocido,Scopus,0
Krauss A.,2024-09-15,Article,CSIC - Instituto de Análisis Económico (IAE),Heliyon,Publisher desconocido,Scopus,0
Krichen M.,2024-12-01,Review,Al Baha University,Journal of Network and Computer Applications,Publisher desconocido,Scopus,0
Kulakova E.,2024-10-01,Article,UCL Institute of Cognitive Neuroscience,Consciousness and Cognition,Publisher desconocido,Scopus,0
Kumar V.S.,2024-11-01,Article,Shri Venkateshwara University,Indonesian Journal of Electrical Engineering and Computer Science,Publisher desconocido,Scopus,0
Kumbhar V.,2024-11-01,Article,"Prof. Ramkrishna More Arts, Commerce &amp; Science College",Microbial Pathogenesis,Publisher desconocido,Scopus,0
Kuo Y.P.,2024-12-01,Article,School of Computer Science,Nature Communications,Publisher desconocido,Scopus,0
Kutaka T.S.,2024-10-01,Article,University of Virginia,Learning and Instruction,Publisher desconocido,Scopus,0
Kutlu E.,2024-10-01,Article,College of Liberal Arts and Sciences,Cognition,Publisher desconocido,Scopus,0
Lacroix A.,2024-12-01,Article,Université Grenoble Alpes,Communications Biology,Publisher desconocido,Scopus,2
Lagos C.I.,2024-11-01,Article,Pontificia Universidad Católica de Chile,Automation in Construction,Publisher desconocido,Scopus,0
Larsson A.,2024-12-01,Article,Linköpings Universitet,Empirical Research in Vocational Education and Training,Publisher desconocido,Scopus,0
Latham A.J.,2024-09-16,Article,Aarhus Universitet,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,0
Lauer A.,2025-01-01,Article,Universidad de Valladolid,Ecological Economics,Publisher desconocido,Scopus,0
Lawn T.,2024-12-01,Article,King's College London,Communications Biology,Publisher desconocido,Scopus,1
Layne-Worthey G.,2024-09-03,Editorial,University of Illinois Urbana-Champaign,Journal of Documentation,Publisher desconocido,Scopus,0
Le Bras T.,2024-12-01,Article,Laboratoire Vision Action Cognition,Scientific Reports,Publisher desconocido,Scopus,0
Le Calvé M.,2024-09-02,Book Chapter,Matters of Activity,Toward a New Culture of the Material,Publisher desconocido,Scopus,0
Leclercq S.,2024-12-01,Article,Lille Neuroscience &amp; Cognition ( LilleNCog ),Scientific Reports,Publisher desconocido,Scopus,0
Lee H.Y.,2024-12-01,Article,National Cheng Kung University,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,9
Lee U.,2024-12-01,Article,Korea University,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Lee W.,2024-10-01,Article,Yonsei University,NeuroImage,Publisher desconocido,Scopus,0
Leite D.,2024-12-01,Article,Max Planck Institute for Intelligent Systems,Nature Communications,Publisher desconocido,Scopus,0
Lemonidis C.,2024-12-30,Article,University of Western Macedonia,"International Journal of Science, Mathematics and Technology Learning",Publisher desconocido,Scopus,0
Leng J.,2024-10-01,Review,Guangdong University of Technology,Journal of Manufacturing Systems,Publisher desconocido,Scopus,0
Lestari F.,2024-12-01,Article,Iowa State University,Applied Corpus Linguistics,Publisher desconocido,Scopus,0
Lestari U.,2024-10-01,Article,Universiti Teknikal Malaysia Melaka,Bulletin of Electrical Engineering and Informatics,Publisher desconocido,Scopus,0
Leuenberger D.,2024-12-01,Article,Universität Zürich,Journal fur Mathematik-Didaktik,Publisher desconocido,Scopus,0
